Date,Subcategory,Payee,Reference,Amount
02-01-2024,Funds Transfer,xxxxxx,MORTGAGE PAYMENT,8424.91
02-01-2024,Funds Transfer,xxxxxx,MORTGAGE PAYMENT,5080.64
03-01-2024,Bill Payment,NATIONAL WESTMINST,xxxxxx,-15000.0
03-01-2024,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
08-01-2024,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,5.0
08-01-2024,Direct Debit,TESCO BANK,xxxxxx,-642.18
09-01-2024,Direct Debit,PLUSNET PLC PAY AC,xxxxxx,-6.0
11-01-2024,Card Purchase,Revolut**7378*,ON 10 JAN,-150.0
12-01-2024,Counter Credit,Son,Savings,900.0
12-01-2024,Counter Credit,Spouse,Savings,900.0
15-01-2024,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
15-01-2024,Direct Debit,SKY DIGITAL,xxxxxx,-85.63
22-01-2024,Card Purchase,COSTCO PFS - WATFO,ON 20 JAN,-52.92
22-01-2024,Direct Debit,TV LICENCEA,xxxxxx,-159.0
23-01-2024,Card Purchase,LAFAYETTEPHOTOGRAP,ON 22 JAN,-109.0
25-01-2024,Counter Credit,Tenant,Rent Payment,1600.0
29-01-2024,Funds Transfer,Spouse,RENT FOR FLAT 12,-1350.0
29-01-2024,Funds Transfer,Spouse,SAVINGS,-250.0
31-01-2024,Card Purchase,LUL TICKET MACHINE,ON 30 JAN,-20.0
01-02-2024,Counter Credit,Employer,Employer BG,9328.0
02-02-2024,Counter Credit,TRANSPORT TRADING,1004 xxxxxx K,4.85
02-02-2024,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
05-02-2024,Funds Transfer,RED ROCK ESTATE,xxxxxx,-349.41
05-02-2024,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,5.0
05-02-2024,Card Purchase,POLICY EXPERT,ON 03 FEB,-234.86
05-02-2024,Funds Transfer,xxxxxx,SAVINGS,-5000.0
08-02-2024,Direct Debit,TESCO BANKxxxxxx,FIRST,-797.75
09-02-2024,Direct Debit,PLUSNET PLC PAY AC,xxxxxx,-6.0
12-02-2024,Counter Credit,TRANSPORT TRADING,1004 xxxxxx K,2.7
13-02-2024,Direct Debit,EE LIMITEDxxxxxx,FIR,-6.0
13-02-2024,Direct Debit,SKY DIGITAL,xxxxxx,-61.6
